Stress Level,Mood Rating,Sleep Quality,Energy Level,Work Hours Per Day,Job Satisfaction,Workload Intensity,Break Frequency,Overtime Frequency,Role Clarity,Autonomy in Work
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Poor,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Constant,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
Low,Negative,Average,Low,Low,Very Satisfied,Low,Moderately Balanced,Occasional,Somewhat Clear,High
High,Negative,Poor,Low,Overworking,Dissatisfied,High,Low Balance,Frequent,Unclear,Low
Moderate,Positive,Good,High,Normal,Neutral,Low,Balanced,None,Very Clear,Moderate
